election,year,constit,party,name,seats,quota,electorate,turnout,valid,spoilt,transfers,round_totals
Presidential Election,2011,Dublin South–Central ,Independent,Mary Davis,8,41604,77688,41604,41075,529,"[1116, 0, 0, 0]","[1116, 1116, 1116, 1116]"
Presidential Election,2011,Dublin South–East ,Independent,Sean Gallagher,3,30780,55533,30780,30485,295,"[4179, 318, 374, 899]","[4179, 4497, 4871, 5770]"
Presidential Election,2011,Dublin South–East ,Labour Party,Michael D. Higgins,3,30780,55533,30780,30485,295,"[16315, 571, 2476, 3582]","[16315, 16886, 19362, 22944]"
Presidential Election,2011,Dublin South–East ,Sinn Féin,Martin McGuinness,3,30780,55533,30780,30485,295,"[2289, 113, 264, -2666]","[2289, 2402, 2666, 0]"
Presidential Election,2011,Dublin South–East ,Fine Gael,Gay Mitchell,3,30780,55533,30780,30485,295,"[2486, 269, 298, 0]","[2486, 2755, 3053, 3053]"
Presidential Election,2011,Dublin South–East ,Independent,David Norris,3,30780,55533,30780,30485,295,"[3574, 164, -3738, 0]","[3574, 3738, 0, 0]"
Presidential Election,2011,Dublin South–East ,Independent,Dana Rosemary Scallon,3,30780,55533,30780,30485,295,"[667, -667, 0, 0]","[667, 0, 0, 0]"
Presidential Election,2011,Dublin South–East ,Independent,Mary Davis,3,30780,55533,30780,30485,295,"[975, 0, 0, 0]","[975, 975, 975, 975]"
Presidential Election,2011,Dublin South–West ,Independent,Sean Gallagher,7,36669,69977,36669,36195,474,"[7947, 423, 588, 1919]","[7947, 8370, 8958, 10877]"
Presidential Election,2011,Dublin South–West ,Labour Party,Michael D. Higgins,7,36669,69977,36669,36195,474,"[14530, 526, 1813, 4861]","[14530, 15056, 16869, 21730]"
Presidential Election,2011,Dublin South–West ,Sinn Féin,Martin McGuinness,7,36669,69977,36669,36195,474,"[6006, 151, 452, -6609]","[6006, 6157, 6609, 0]"
Presidential Election,2011,Dublin South–West ,Fine Gael,Gay Mitchell,7,36669,69977,36669,36195,474,"[2345, 286, 336, 0]","[2345, 2631, 2967, 2967]"
Presidential Election,2011,Dublin South–West ,Independent,David Norris,7,36669,69977,36669,36195,474,"[3482, 171, -3653, 0]","[3482, 3653, 0, 0]"
Presidential Election,2011,Dublin South–West ,Independent,Dana Rosemary Scallon,7,36669,69977,36669,36195,474,"[758, -758, 0, 0]","[758, 0, 0, 0]"
Presidential Election,2011,Dublin South–West ,Independent,Mary Davis,7,36669,69977,36669,36195,474,"[1127, 0, 0, 0]","[1127, 1127, 1127, 1127]"
Presidential Election,2011,Dublin West ,Independent,Sean Gallagher,3,36319,61583,36319,35949,370,"[8677, 446, 618, 1390]","[8677, 9123, 9741, 11131]"
Presidential Election,2011,Dublin West ,Labour Party,Michael D. Higgins,3,36319,61583,36319,35949,370,"[15539, 543, 1992, 3839]","[15539, 16082, 18074, 21913]"
Presidential Election,2011,Dublin West ,Sinn Féin,Martin McGuinness,3,36319,61583,36319,35949,370,"[4278, 141, 407, -4826]","[4278, 4419, 4826, 0]"
Presidential Election,2011,Dublin West ,Fine Gael,Gay Mitchell,3,36319,61583,36319,35949,370,"[1916, 260, 263, 0]","[1916, 2176, 2439, 2439]"
Presidential Election,2011,Dublin West ,Independent,David Norris,3,36319,61583,36319,35949,370,"[3632, 189, -3821, 0]","[3632, 3821, 0, 0]"
Presidential Election,2011,Dublin West ,Independent,Dana Rosemary Scallon,3,36319,61583,36319,35949,370,"[733, -733, 0, 0]","[733, 0, 0, 0]"
Presidential Election,2011,Dublin West ,Independent,Mary Davis,3,36319,61583,36319,35949,370,"[1174, 0, 0, 0]","[1174, 1174, 1174, 1174]"
Presidential Election,2011,Dún Laoghaire ,Independent,Sean Gallagher,3,49191,82033,49191,48763,428,"[8626, 599, 688, 1409]","[8626, 9225, 9913, 11322]"
Presidential Election,2011,Dún Laoghaire ,Labour Party,Michael D. Higgins,3,49191,82033,49191,48763,428,"[25616, 901, 3264, 5090]","[25616, 26517, 29781, 34871]"
Presidential Election,2011,Dún Laoghaire ,Sinn Féin,Martin McGuinness,3,49191,82033,49191,48763,428,"[3355, 182, 317, -3854]","[3355, 3537, 3854, 0]"
Presidential Election,2011,Dún Laoghaire ,Fine Gael,Gay Mitchell,3,49191,82033,49191,48763,428,"[3424, 510, 444, 0]","[3424, 3934, 4378, 4378]"
Presidential Election,2011,Dún Laoghaire ,Independent,David Norris,3,49191,82033,49191,48763,428,"[4973, 265, -5238, 0]","[4973, 5238, 0, 0]"
Presidential Election,2011,Dún Laoghaire ,Independent,Dana Rosemary Scallon,3,49191,82033,49191,48763,428,"[1058, -1058, 0, 0]","[1058, 0, 0, 0]"
Presidential Election,2011,Dún Laoghaire ,Independent,Mary Davis,3,49191,82033,49191,48763,428,"[1711, 0, 0, 0]","[1711, 1711, 1711, 1711]"
Presidential Election,2011,Galway East ,Independent,Sean Gallagher,6,47092,81896,47092,46681,411,"[13473, 665, 198, 1517]","[13473, 14138, 14336, 15853]"
Presidential Election,2011,Galway East ,Labour Party,Michael D. Higgins,6,47092,81896,47092,46681,411,"[21554, 906, 678, 5184]","[21554, 22460, 23138, 28322]"
Presidential Election,2011,Galway East ,Sinn Féin,Martin McGuinness,6,47092,81896,47092,46681,411,"[4849, 259, 187, -5295]","[4849, 5108, 5295, 0]"
